worker_id,gender,age,party,voting_for,state,title,url,org,candidate,flesch,gunning_fog,readability,topic,favor,trust
32424428,male,18-29,democrat,Hillary Clinton,NY,Bernie Sanders' Simon & Garfunkel ad raises goose bumps,http://www.cnn.com/2016/01/24/opinions/donald-trump-bernie-sanders-ads-lippert/index.html,CNN,Bernie Sanders,10.7,10.8,57.61,Immigration,0,0
32424428,male,18-29,democrat,Hillary Clinton,NY,First Draft: Hillary Clinton Promises Not to Be ‘Deporter in Chief’,http://www.nytimes.com/politics/first-draft/2016/01/12/hillary-clinton-promises-not-to-be-deporter-in-chief/,The New York Times,Hillary Clinton,8.4,8.4,63.7,Immigration,1,0
37078496,male,18-29,republican,Donald Trump,CA,First Draft: Donald Trump Says He’ll Release Tax Returns ‘at Some Point’,http://www.nytimes.com/politics/first-draft/2016/02/22/donald-trump-says-hell-release-tax-returns-at-some-point/,The New York Times,Donald Trump,5.6,6.8,76.22,Campaign Finance,1,1
37078496,male,18-29,republican,Donald Trump,CA,First Draft: Bernie Sanders Gets Some Outside Help He Didn’t Ask For,http://www.nytimes.com/politics/first-draft/2016/01/20/bernie-sanders-gets-some-outside-help-he-didnt-ask-for/,The New York Times,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,1,0
37078496,male,18-29,republican,Donald Trump,CA,First Draft: Hillary Clinton Leads in Fund-Raising From Lobbyists,http://www.nytimes.com/politics/first-draft/2016/02/01/hillary-clinton-leads-in-fund-raising-from-lobbyists/,The New York Times,Hillary Clinton,10.3,9.2,53.21,Campaign Finance,1,0
37078496,male,18-29,republican,Donald Trump,CA,Trump unscathed in GOP ad wars,http://www.cnn.com/2016/01/05/politics/primary-conflicts-2016/index.html,CNN,Donald Trump,12.3,12.4,53.55,Campaign Finance,1,0
37078496,male,18-29,republican,Donald Trump,CA,Democrats hold key debate amid feuding over Sanders' medical records,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/z1CxBpCWk14/democrats-hold-key-debate-amid-feuding-over-sanders-medical-records.html,Fox News,Bernie Sanders,12.3,11.2,48.13,Campaign Finance,-1,1
35959061,female,18-29,republican,Donald Trump,CA,First Draft: Donald Trump Says He’ll Release Tax Returns ‘at Some Point’,http://www.nytimes.com/politics/first-draft/2016/02/22/donald-trump-says-hell-release-tax-returns-at-some-point/,The New York Times,Donald Trump,5.6,6.8,76.22,Campaign Finance,-1,0
35959061,female,18-29,republican,Donald Trump,CA,First Draft: Bernie Sanders Gets Some Outside Help He Didn’t Ask For,http://www.nytimes.com/politics/first-draft/2016/01/20/bernie-sanders-gets-some-outside-help-he-didnt-ask-for/,The New York Times,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,1,1
35959061,female,18-29,republican,Donald Trump,CA,First Draft: Hillary Clinton Leads in Fund-Raising From Lobbyists,http://www.nytimes.com/politics/first-draft/2016/02/01/hillary-clinton-leads-in-fund-raising-from-lobbyists/,The New York Times,Hillary Clinton,10.3,9.2,53.21,Campaign Finance,-1,0
35959061,female,18-29,republican,Donald Trump,CA,Trump unscathed in GOP ad wars,http://www.cnn.com/2016/01/05/politics/primary-conflicts-2016/index.html,CNN,Donald Trump,12.3,12.4,53.55,Campaign Finance,1,1
35959061,female,18-29,republican,Donald Trump,CA,Democrats hold key debate amid feuding over Sanders' medical records,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/z1CxBpCWk14/democrats-hold-key-debate-amid-feuding-over-sanders-medical-records.html,Fox News,Bernie Sanders,12.3,11.2,48.13,Campaign Finance,1,1
34938843,male,18-29,democrat,Hillary Clinton,GA,First Draft: Donald Trump Says He’ll Release Tax Returns ‘at Some Point’,http://www.nytimes.com/politics/first-draft/2016/02/22/donald-trump-says-hell-release-tax-returns-at-some-point/,The New York Times,Donald Trump,5.6,6.8,76.22,Campaign Finance,0,2
34938843,male,18-29,democrat,Hillary Clinton,GA,First Draft: Bernie Sanders Gets Some Outside Help He Didn’t Ask For,http://www.nytimes.com/politics/first-draft/2016/01/20/bernie-sanders-gets-some-outside-help-he-didnt-ask-for/,The New York Times,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,0,2
34938843,male,18-29,democrat,Hillary Clinton,GA,First Draft: Hillary Clinton Leads in Fund-Raising From Lobbyists,http://www.nytimes.com/politics/first-draft/2016/02/01/hillary-clinton-leads-in-fund-raising-from-lobbyists/,The New York Times,Hillary Clinton,10.3,9.2,53.21,Campaign Finance,1,2
34938843,male,18-29,democrat,Hillary Clinton,GA,Trump unscathed in GOP ad wars,http://www.cnn.com/2016/01/05/politics/primary-conflicts-2016/index.html,CNN,Donald Trump,12.3,12.4,53.55,Campaign Finance,1,2
34938843,male,18-29,democrat,Hillary Clinton,GA,Democrats hold key debate amid feuding over Sanders' medical records,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/z1CxBpCWk14/democrats-hold-key-debate-amid-feuding-over-sanders-medical-records.html,Fox News,Bernie Sanders,12.3,11.2,48.13,Campaign Finance,-1,2
36747744,male,18-29,republican,Ted Cruz,TX,Trump's closing pitch to Iowa caucus-goers a family affair,http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2016-01-31-US--2016-Election-The%20Latest/id-3b77ffea54704d26a8f9fcc61ff634b6,the Associated Press,Donald Trump,8.7,8.8,62.68,Campaign Finance,0,2
36747744,male,18-29,republican,Ted Cruz,TX,Cruz to tea party supporters: Don't get 'burned' by fake conservatives,http://www.cnn.com/2016/01/16/politics/ted-cruz-tea-party-rally-donald-trump-marco-rubio/index.html,CNN,Ted Cruz,11.9,12.0,54.56,Immigration,-1,2
36747744,male,18-29,republican,Ted Cruz,TX,First Draft: Hispanic Celebrities Denounce Donald Trump and G.O.P. Field,http://www.nytimes.com/politics/first-draft/2016/02/11/hispanic-celebrities-denounce-donald-trump-and-g-o-p-field/,The New York Times,Donald Trump,11.5,9.2,44.75,Immigration,-1,2
36747744,male,18-29,republican,Ted Cruz,TX,Why Cruz is in trouble in Texas,http://www.cnn.com/2016/02/25/politics/ted-cruz-super-tuesday-texas/index.html,CNN,Ted Cruz,11.1,11.2,56.59,Campaign Finance,-1,0
36747744,male,18-29,republican,Ted Cruz,TX,First Draft: F.E.C. Tells Sanders Campaign That Some Donors May Have Given Too Much,http://www.nytimes.com/politics/first-draft/2016/02/12/f-e-c-tells-sanders-campaign-that-some-donors-may-have-given-too-much/,The New York Times,Bernie Sanders,9.1,8.0,56.25,Campaign Finance,0,1
36296882,female,18-29,independent_other,Donald Trump,WI,Trump's closing pitch to Iowa caucus-goers a family affair,http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2016-01-31-US--2016-Election-The%20Latest/id-3b77ffea54704d26a8f9fcc61ff634b6,the Associated Press,Donald Trump,8.7,8.8,62.68,Campaign Finance,0,1
36296882,female,18-29,independent_other,Donald Trump,WI,Cruz to tea party supporters: Don't get 'burned' by fake conservatives,http://www.cnn.com/2016/01/16/politics/ted-cruz-tea-party-rally-donald-trump-marco-rubio/index.html,CNN,Ted Cruz,11.9,12.0,54.56,Immigration,1,0
36296882,female,18-29,independent_other,Donald Trump,WI,First Draft: Hispanic Celebrities Denounce Donald Trump and G.O.P. Field,http://www.nytimes.com/politics/first-draft/2016/02/11/hispanic-celebrities-denounce-donald-trump-and-g-o-p-field/,The New York Times,Donald Trump,11.5,9.2,44.75,Immigration,-1,-1
