,worker_id,gender,age,party,voting_for,state,title,url,org,candidate,flesch,gunning_fog,readability,topic,favor,trust,group,trust_score,favor_score,trust_binary,voting_for_coded,party_coded,flesch_coded
58,37198978,female,30-49,independent_other,Bernie Sanders,DE,Sources say Feds probing Clinton payola claims,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/cGafgAtCxvQ/sources-say-feds-probing-clinton-payola-claims.html,Fox News,Hillary Clinton,9.5,9.6,60.65,Abortion,Neutral,Strongly Agree,A,2,0,Agree,3,3,0
59,37198978,female,30-49,independent_other,Bernie Sanders,DE,"The Ad Campaign: In New Ad, Hillary Clinton Sums Up Her Case for Iowa and New Hampshire Democrats",http://www.nytimes.com/2016/01/21/us/politics/in-new-ad-hillary-clinton-sums-up-her-case-for-iowa-and-new-hampshire-democrats.html,The New York Times,Hillary Clinton,7.9,9.2,70.13,Foreign Policy/National Security,Favorable,Disagree,A,-1,1,Disagree,3,3,-1
60,25111984,female,50-64,independent_other,Hillary Clinton,CO,Takeaways from Ted Cruz's Iowa road trip,http://www.cnn.com/2016/01/10/politics/cruz-iowa-takeaways/index.html,CNN,Ted Cruz,8.7,10.0,68.1,Campaign Finance,Unfavorable,Agree,A,1,-1,Agree,1,3,0
61,25111984,female,50-64,independent_other,Hillary Clinton,CO,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,The Wall Street Journal,Bernie Sanders,5.2,6.4,77.23,Campaign Finance,Favorable,Strongly Agree,A,2,1,Agree,1,3,-1
62,25111984,female,50-64,independent_other,Hillary Clinton,CO,Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,http://feeds.foxnews.com/~r/foxnews/politics/~3/ZnFKx855-JY/ingraham-trumps-campaign-strategy-is-to-take-down-all-opponents-mafioso-style.html,Fox News,Donald Trump,8.7,10.0,68.1,Immigration,Unfavorable,Neutral,A,0,-1,Neutral,1,3,0
63,25111984,female,50-64,independent_other,Hillary Clinton,CO,Trump deflects specifics when it comes to abortion position,http://www.cnn.com/2016/01/26/politics/donald-trump-abortion/index.html,CNN,Donald Trump,8.7,8.8,62.68,Abortion,Unfavorable,Agree,A,1,-1,Agree,1,3,0
64,25111984,female,50-64,independent_other,Hillary Clinton,CO,Capital Journal Friday PM: Clinton Emails; Growing Divide in U.S. Economy; Top Stories of the Week,http://blogs.wsj.com/washwire/2016/01/29/capital-journal-friday-pm-income-for-recent-graduates-shows-growing-divide-in-u-s-economy-central-banks-try-unconventional-policy-tools-the-election-2016-money-race/,The Wall Street Journal,Hillary Clinton,12.3,10.0,42.72,Foreign Policy/National Security,Neutral,Strongly Agree,A,2,0,Agree,1,3,1
65,36517633,female,18-29,independent_other,Hillary Clinton,NY,Takeaways from Ted Cruz's Iowa road trip,http://www.cnn.com/2016/01/10/politics/cruz-iowa-takeaways/index.html,CNN,Ted Cruz,8.7,10.0,68.1,Campaign Finance,Favorable,Agree,A,1,1,Agree,1,3,0
66,36517633,female,18-29,independent_other,Hillary Clinton,NY,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,The Wall Street Journal,Bernie Sanders,5.2,6.4,77.23,Campaign Finance,Favorable,Strongly Agree,A,2,1,Agree,1,3,-1
67,36517633,female,18-29,independent_other,Hillary Clinton,NY,Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,http://feeds.foxnews.com/~r/foxnews/politics/~3/ZnFKx855-JY/ingraham-trumps-campaign-strategy-is-to-take-down-all-opponents-mafioso-style.html,Fox News,Donald Trump,8.7,10.0,68.1,Immigration,Unfavorable,Strongly Agree,A,2,-1,Agree,1,3,0
68,36517633,female,18-29,independent_other,Hillary Clinton,NY,Trump deflects specifics when it comes to abortion position,http://www.cnn.com/2016/01/26/politics/donald-trump-abortion/index.html,CNN,Donald Trump,8.7,8.8,62.68,Abortion,Unfavorable,Strongly Agree,A,2,-1,Agree,1,3,0
69,36517633,female,18-29,independent_other,Hillary Clinton,NY,Capital Journal Friday PM: Clinton Emails; Growing Divide in U.S. Economy; Top Stories of the Week,http://blogs.wsj.com/washwire/2016/01/29/capital-journal-friday-pm-income-for-recent-graduates-shows-growing-divide-in-u-s-economy-central-banks-try-unconventional-policy-tools-the-election-2016-money-race/,The Wall Street Journal,Hillary Clinton,12.3,10.0,42.72,Foreign Policy/National Security,Unfavorable,Strongly Agree,A,2,-1,Agree,1,3,1
70,16468100,female,18-29,republican,Ted Cruz,NE,Takeaways from Ted Cruz's Iowa road trip,http://www.cnn.com/2016/01/10/politics/cruz-iowa-takeaways/index.html,CNN,Ted Cruz,8.7,10.0,68.1,Campaign Finance,Neutral,Agree,A,1,0,Agree,4,2,0
71,16468100,female,18-29,republican,Ted Cruz,NE,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,The Wall Street Journal,Bernie Sanders,5.2,6.4,77.23,Campaign Finance,Neutral,Agree,A,1,0,Agree,4,2,-1
72,16468100,female,18-29,republican,Ted Cruz,NE,Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,http://feeds.foxnews.com/~r/foxnews/politics/~3/ZnFKx855-JY/ingraham-trumps-campaign-strategy-is-to-take-down-all-opponents-mafioso-style.html,Fox News,Donald Trump,8.7,10.0,68.1,Immigration,Neutral,Agree,A,1,0,Agree,4,2,0
73,16468100,female,18-29,republican,Ted Cruz,NE,Trump deflects specifics when it comes to abortion position,http://www.cnn.com/2016/01/26/politics/donald-trump-abortion/index.html,CNN,Donald Trump,8.7,8.8,62.68,Abortion,Neutral,Agree,A,1,0,Agree,4,2,0
74,16468100,female,18-29,republican,Ted Cruz,NE,Capital Journal Friday PM: Clinton Emails; Growing Divide in U.S. Economy; Top Stories of the Week,http://blogs.wsj.com/washwire/2016/01/29/capital-journal-friday-pm-income-for-recent-graduates-shows-growing-divide-in-u-s-economy-central-banks-try-unconventional-policy-tools-the-election-2016-money-race/,The Wall Street Journal,Hillary Clinton,12.3,10.0,42.72,Foreign Policy/National Security,Neutral,Neutral,A,0,0,Neutral,4,2,1
75,32672123,male,30-49,democrat,Hillary Clinton,NV,Bernie Sanders’s Fans Toot Their Own Horns to Support Vermont Senator,http://blogs.wsj.com/washwire/2016/01/07/bernie-sanderss-fans-toot-their-own-horns-to-support-vermont-senator/,The Wall Street Journal,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,Favorable,Agree,A,1,1,Agree,1,1,0
76,32672123,male,30-49,democrat,Hillary Clinton,NV,Sanders Plans Volley of Ads in Iowa in Final Push Toward Caucuses,http://blogs.wsj.com/washwire/2016/01/27/sanders-plans-volley-of-ads-in-iowa-in-final-push-toward-caucuses/,The Wall Street Journal,Bernie Sanders,6.0,7.2,75.2,Campaign Finance,Neutral,Agree,A,1,0,Agree,1,1,-1
