worker_id,title,url
32641084,Cuomo: New Yorkers Not ‘Judgmental’ Like Cruz,http://blogs.wsj.com/washwire/2016/01/15/cuomo-new-yorkers-not-judgmental-like-cruz/
32641084,First Draft: Bernie Sanders Tells Minnesotans They Can ‘Make History’,http://www.nytimes.com/politics/first-draft/2016/02/29/bernie-sanders-tells-minnesotans-they-can-make-history/
32641084,First Draft: Ted Cruz’s Iowa Bus Tour: Ethanol Subsidies and Shark Jumping,http://www.nytimes.com/politics/first-draft/2016/01/05/ted-cruzs-iowa-bus-tour-ethanol-subsidies-and-shark-jumping/
32641084,Ted Cruz worry: Big South Carolina loss equals bad Super Tuesday,http://www.cnn.com/2016/02/19/politics/ted-cruz-south-carolina-super-tuesday/index.html
32641084,Donald Trump just plain wrong on torture (opinion),http://www.cnn.com/2016/02/23/opinions/trump-torture-bergenas/index.html
27770607,"Increasingly, Iowans Say Their Caucuses Are Ted Cruz’s to Lose",http://www.nytimes.com/2016/01/07/us/politics/increasingly-iowans-say-their-caucuses-are-ted-cruzs-to-lose.html
27770607,"Another Pro-Cruz Super PAC Launches, This One Led by Rick Perry",http://blogs.wsj.com/washwire/2016/02/12/another-pro-cruz-super-pac-launches-this-one-led-by-rick-perry/
27770607,Bernie Sanders Raised $20 Million in January,http://blogs.wsj.com/washwire/2016/01/31/bernie-sanders-raised-20-million-in-january/
27770607,Ted Cruz ad features business suits crossing border,http://www.cnn.com/2016/01/05/politics/ted-cruz-immigration-border-ad-business-suits/index.html
27770607,SHARING TOO MUCH? Video raises concern over Clinton using BlackBerry,http://www.foxnews.com/politics/2016/01/25/video-suggests-clinton-shared-info-that-would-never-be-on-unclassified-system-normally.html
11106820,First Draft: 2 Ex-Presidents of Mexico Say No Way Country Is Paying for Donald Trump’s Wall,http://www.nytimes.com/politics/first-draft/2016/02/25/2-ex-presidents-of-mexico-say-no-way-theyre-paying-for-donald-trumps-wall/
11106820,Cruz changes tune on rounding up undocumented immigrants,http://www.cnn.com/2016/02/23/politics/ted-cruz-illegal-immigrants-bill-oreilly/index.html
11106820,Clinton to Planned Parenthood: 'I will always have your back',http://www.cnn.com/2016/01/10/politics/clinton-planned-parenthood/index.html
11106820,First Draft: Ted Cruz ‘Super PAC’ Invests Additional $2.5 Million in Advertising,http://www.nytimes.com/politics/first-draft/2016/01/19/ted-cruz-super-pac-invests-additional-2-5-million-in-advertising/
11106820,"Ad of the Week: From Hillary Clinton, a Single Message Told Across the Decades",http://www.nytimes.com/2016/01/31/us/politics/from-hillary-clinton-a-single-message-told-across-the-decades.html
36603404,Cruz failed to disclose Goldman loan during Senate run,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/WsD1UYfsiQY/cruz-failed-to-disclose-goldman-loan-during-senate-run.html
36603404,First on CNN: Texas Gov. Greg Abbott to endorse Cruz for president,http://www.cnn.com/2016/02/24/politics/ted-cruz-greg-abbott-texas-endorsement/index.html
36603404,The 2016 Race: How to Understand Donald Trump’s Defeat in Iowa,http://www.nytimes.com/2016/02/02/upshot/how-to-understand-donald-trumps-defeat-in-iowa.html
36603404,First Draft: Ted Cruz Outlines Plan to Strengthen Military,http://www.nytimes.com/politics/first-draft/2016/02/16/ted-cruz-outlines-plan-to-strengthen-military/
36603404,Political fallout for Clinton after North Korea's nuke test,http://www.cnn.com/2016/01/06/politics/north-korea-nuclear-test-clinton-trump/index.html
36313064,Critics Pounce on Madeleine Albright’s Exhortation to Women to Back Clinton,http://blogs.wsj.com/washwire/2016/02/06/critics-pounce-on-madeleine-albrights-exhortation-to-women-to-back-clinton/
36313064,"Donald Trump, Despite Impieties, Wins Hearts of Evangelical Voters",http://www.nytimes.com/2016/02/28/us/politics/donald-trump-despite-impieties-wins-hearts-of-evangelical-voters.html
36313064,"Clinton allies forming group to protect, register voters",http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2016-02-10-US--DEM%202016-Voting%20Rights/id-e858b2a5987a4e69a7937681bad81331
36313064,Hillary Clinton Sharpens Focus After Democratic Debate Tussles,http://www.nytimes.com/2016/02/13/us/politics/hillary-clinton-sharpens-focus-after-democratic-debate-tussles.html
36313064,Pro-Clinton Super PAC Announces Large Fundraising Haul,http://blogs.wsj.com/washwire/2016/01/29/pro-clinton-super-pac-announces-large-fundraising-haul/
33935063,Sanders campaign touts another endorsement that didn't happen,http://www.cnn.com/2016/02/11/politics/bernie-sanders-hillary-clinton-dreamer-support/index.html
33935063,Sanders a prolific Dem fundraiser,http://www.cnn.com/2016/02/05/politics/sanders-democratic-fundraisers/index.html
33935063,"Your Friday Evening Briefing: Hillary Clinton, Kanye West, Syria",http://www.nytimes.com/2016/02/12/nytnow/your-friday-evening-briefing-hillary-clinton-kanye-west-syria.html
33935063,Jeb Bush on Donald Trump: 'The guy needs therapy',http://www.cnn.com/2016/02/06/politics/jeb-bush-isis-donald-trump/index.html
