,title,avg_trust
4,"After GOP establishment 'froze' on Trump, Democrats ready battle plans",1.5
6,"Another Pro-Cruz Super PAC Launches, This One Led by Rick Perry",1.33333333333
11,"Bernie Sanders Is Democrats’ Top Beneficiary of Outside Spending, Like it or Not",1.33333333333
12,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,1.33333333333
13,Bernie Sanders Raised $20 Million in January,1.33333333333
23,Clinton to Planned Parenthood: 'I will always have your back',1.16666666667
79,Hillary Clinton hopes for strong Latino turnout in Nevada,1.16666666667
84,Message of Bernie Sanders’s New Ad: The Housing Crisis Isn’t Over,1.16666666667
107,Ted Cruz ad features business suits crossing border,1.16666666667
