worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust
30398579,female,30-49,independent_other,sanders,MA,nooooone,clinton,7.5,0,2,1.0
30398579,female,30-49,independent_other,sanders,MA,nooooone,trump,11.7,1,0,0.0
30398579,female,30-49,independent_other,sanders,MA,nooooone,cruz,7.9,0,1,1.0
30398579,female,30-49,independent_other,sanders,MA,nooooone,trump,5.8,0,1,1.0
30398579,female,30-49,independent_other,sanders,MA,nooooone,clinton,14.2,1,1,1.0
37012492,male,18-29,republican,trump,DE,nooooone,cruz,11.8,1,2,2.0
37012492,male,18-29,republican,trump,DE,nooooone,sanders,14.1,1,2,2.0
37012492,male,18-29,republican,trump,DE,nooooone,sanders,8.0,0,1,1.0
37012492,male,18-29,republican,trump,DE,nooooone,clinton,7.5,0,1,1.0
37012492,male,18-29,republican,trump,DE,nooooone,trump,11.7,1,2,2.0
37012492,male,18-29,republican,trump,DE,nooooone,cruz,7.9,0,2,2.0
37012492,male,18-29,republican,trump,DE,nooooone,trump,5.8,0,1,1.0
37012492,male,18-29,republican,trump,DE,nooooone,clinton,14.2,1,2,1.0
36272463,male,30-49,democrat,clinton,VA,nooooone,cruz,11.8,1,-1,-1.0
36272463,male,30-49,democrat,clinton,VA,nooooone,sanders,14.1,1,-1,-1.0
36272463,male,30-49,democrat,clinton,VA,nooooone,sanders,8.0,0,1,1.0
36272463,male,30-49,democrat,clinton,VA,nooooone,clinton,7.5,0,1,1.0
36272463,male,30-49,democrat,clinton,VA,nooooone,trump,11.7,1,-1,-1.0
36272463,male,30-49,democrat,clinton,VA,nooooone,cruz,7.9,0,1,1.0
36272463,male,30-49,democrat,clinton,VA,nooooone,trump,5.8,0,1,1.0
36272463,male,30-49,democrat,clinton,VA,nooooone,clinton,14.2,1,1,1.0
18785646,female,30-49,democrat,sanders,NY,nooooone,cruz,11.8,1,2,2.0
18785646,female,30-49,democrat,sanders,NY,nooooone,sanders,14.1,1,2,2.0
18785646,female,30-49,democrat,sanders,NY,nooooone,sanders,8.0,0,2,2.0
18785646,female,30-49,democrat,sanders,NY,nooooone,clinton,7.5,0,0,-1.0
18785646,female,30-49,democrat,sanders,NY,nooooone,trump,11.7,1,1,1.0
18785646,female,30-49,democrat,sanders,NY,nooooone,cruz,7.9,0,0,-1.0
18785646,female,30-49,democrat,sanders,NY,nooooone,trump,5.8,0,1,1.0
18785646,female,30-49,democrat,sanders,NY,nooooone,clinton,14.2,1,0,1.0
24170547,male,64+,independent_other,trump,NJ,nooooone,cruz,11.8,1,1,-1.0
24170547,male,64+,independent_other,trump,NJ,nooooone,sanders,14.1,1,0,0.0
24170547,male,64+,independent_other,trump,NJ,nooooone,sanders,8.0,0,-1,-1.0
24170547,male,64+,independent_other,trump,NJ,nooooone,clinton,7.5,0,-2,-2.0
24170547,male,64+,independent_other,trump,NJ,nooooone,trump,11.7,1,-1,0.0
24170547,male,64+,independent_other,trump,NJ,nooooone,cruz,7.9,0,0,0.0
24170547,male,64+,independent_other,trump,NJ,nooooone,trump,5.8,0,1,1.0
24170547,male,64+,independent_other,trump,NJ,nooooone,clinton,14.2,1,0,-2.0
36979264,male,18-29,republican,trump,TX,nooooone,cruz,11.8,1,1,2.0
36979264,male,18-29,republican,trump,TX,nooooone,sanders,14.1,1,-1,0.0
36979264,male,18-29,republican,trump,TX,nooooone,sanders,8.0,0,0,0.0
36979264,male,18-29,republican,trump,TX,nooooone,clinton,7.5,0,-1,1.0
36979264,male,18-29,republican,trump,TX,nooooone,trump,11.7,1,-1,0.0
36979264,male,18-29,republican,trump,TX,nooooone,cruz,7.9,0,1,1.0
36979264,male,18-29,republican,trump,TX,nooooone,trump,5.8,0,-1,0.0
36979264,male,18-29,republican,trump,TX,nooooone,clinton,14.2,1,1,1.0
36858304,male,18-29,democrat,clinton,CA,nooooone,cruz,11.8,1,2,1.0
36858304,male,18-29,democrat,clinton,CA,nooooone,sanders,14.1,1,0,1.0
36858304,male,18-29,democrat,clinton,CA,nooooone,sanders,8.0,0,1,1.0
36858304,male,18-29,democrat,clinton,CA,nooooone,clinton,7.5,0,2,2.0
36858304,male,18-29,democrat,clinton,CA,nooooone,trump,11.7,1,-1,-1.0
36858304,male,18-29,democrat,clinton,CA,nooooone,cruz,7.9,0,-1,-1.0
36858304,male,18-29,democrat,clinton,CA,nooooone,trump,5.8,0,1,1.0
36858304,male,18-29,democrat,clinton,CA,nooooone,clinton,14.2,1,2,2.0
32695853,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,1.0
32695853,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,2,1.0
32695853,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,2,1.0
32695853,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,1.0
32695853,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,-1,1.0
32695853,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,1,1.0
32695853,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,1.0
