worker_id,gender,age,party,voting_for,state,title,source,candidate,flesch,is_complex,fair,trust
19638651,female,50-64,democrat,other,SC,Cruz Looks to Shore Up Support Among Iowa Evangelicals,nooooone,cruz,11.8,1,1,1
19638651,female,50-64,democrat,other,SC,"Sanders tours Roosevelt site, says Bation can learn from FDR",nooooone,sanders,14.1,1,1,1
19638651,female,50-64,democrat,other,SC,The Latest: Sanders says Trump campaign based on division,nooooone,sanders,8,0,1,1
19638651,female,50-64,democrat,other,SC,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,nooooone,clinton,7.5,0,1,0
19638651,female,50-64,democrat,other,SC,Trump not backing down from Fox debate boycott,nooooone,trump,11.7,1,0,-1
19638651,female,50-64,democrat,other,SC,The Latest: Bible prominent in Final Cruz Pitches to Voters,nooooone,cruz,7.9,0,1,1.0
19638651,female,50-64,democrat,other,SC,FACT CHECK: Audio refutes Trump's claim on China tariff,nooooone,trump,5.8,0,1,0.0
19638651,female,50-64,democrat,other,SC,"Clinton Allies Forming Group to Protect, Register Voters",nooooone,clinton,14.2,1,1,1
16573689,female,30-49,independent_other,clinton,MI,Cruz Looks to Shore Up Support Among Iowa Evangelicals,nooooone,cruz,11.8,1,1,0
16573689,female,30-49,independent_other,clinton,MI,"Sanders tours Roosevelt site, says Bation can learn from FDR",nooooone,sanders,14.1,1,1,0
16573689,female,30-49,independent_other,clinton,MI,The Latest: Sanders says Trump campaign based on division,nooooone,sanders,8,0,-1,0
16573689,female,30-49,independent_other,clinton,MI,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,nooooone,clinton,7.5,0,0,0
16573689,female,30-49,independent_other,clinton,MI,Trump not backing down from Fox debate boycott,nooooone,trump,11.7,1,-1,-1
16573689,female,30-49,independent_other,clinton,MI,The Latest: Bible prominent in Final Cruz Pitches to Voters,nooooone,cruz,7.9,0,0,0.0
16573689,female,30-49,independent_other,clinton,MI,FACT CHECK: Audio refutes Trump's claim on China tariff,nooooone,trump,5.8,0,1,0.0
16573689,female,30-49,independent_other,clinton,MI,"Clinton Allies Forming Group to Protect, Register Voters",nooooone,clinton,14.2,1,1,0
9383666,male,50-64,republican,kasich,IN,Cruz Looks to Shore Up Support Among Iowa Evangelicals,nooooone,cruz,11.8,1,1,1
9383666,male,50-64,republican,kasich,IN,"Sanders tours Roosevelt site, says Bation can learn from FDR",nooooone,sanders,14.1,1,1,1
9383666,male,50-64,republican,kasich,IN,The Latest: Sanders says Trump campaign based on division,nooooone,sanders,8,0,1,0
9383666,male,50-64,republican,kasich,IN,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,nooooone,clinton,7.5,0,0,0
9383666,male,50-64,republican,kasich,IN,Trump not backing down from Fox debate boycott,nooooone,trump,11.7,1,-1,0
9383666,male,50-64,republican,kasich,IN,The Latest: Bible prominent in Final Cruz Pitches to Voters,nooooone,cruz,7.9,0,1,1.0
9383666,male,50-64,republican,kasich,IN,FACT CHECK: Audio refutes Trump's claim on China tariff,nooooone,trump,5.8,0,0,1.0
9383666,male,50-64,republican,kasich,IN,"Clinton Allies Forming Group to Protect, Register Voters",nooooone,clinton,14.2,1,1,1
30398579,female,30-49,independent_other,sanders,MA,Cruz Looks to Shore Up Support Among Iowa Evangelicals,nooooone,cruz,11.8,1,0,1
30398579,female,30-49,independent_other,sanders,MA,"Sanders tours Roosevelt site, says Bation can learn from FDR",nooooone,sanders,14.1,1,2,1
30398579,female,30-49,independent_other,sanders,MA,The Latest: Sanders says Trump campaign based on division,nooooone,sanders,8,0,1,1
30398579,female,30-49,independent_other,sanders,MA,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,nooooone,clinton,7.5,0,2,1
30398579,female,30-49,independent_other,sanders,MA,Trump not backing down from Fox debate boycott,nooooone,trump,11.7,1,0,0
