,worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust,match
89,36272463,male,30-49,democrat,clinton,VA,&nbsp;,sanders,14.1,1,-1,-1.0,-1
90,36272463,male,30-49,democrat,clinton,VA,&nbsp;,sanders,8.0,0,1,1.0,-1
91,36272463,male,30-49,democrat,clinton,VA,&nbsp;,clinton,7.5,0,1,1.0,-1
92,36272463,male,30-49,democrat,clinton,VA,&nbsp;,trump,11.7,1,-1,-1.0,-1
93,36272463,male,30-49,democrat,clinton,VA,&nbsp;,cruz,7.9,0,1,1.0,-1
94,36272463,male,30-49,democrat,clinton,VA,&nbsp;,trump,5.8,0,1,1.0,-1
95,36272463,male,30-49,democrat,clinton,VA,&nbsp;,clinton,14.2,1,1,1.0,-1
96,18785646,female,30-49,democrat,sanders,NY,&nbsp;,cruz,11.8,1,2,2.0,-1
97,18785646,female,30-49,democrat,sanders,NY,&nbsp;,sanders,14.1,1,2,2.0,-1
98,18785646,female,30-49,democrat,sanders,NY,&nbsp;,sanders,8.0,0,2,2.0,-1
99,18785646,female,30-49,democrat,sanders,NY,&nbsp;,clinton,7.5,0,0,-1.0,-1
100,18785646,female,30-49,democrat,sanders,NY,&nbsp;,trump,11.7,1,1,1.0,-1
101,18785646,female,30-49,democrat,sanders,NY,&nbsp;,cruz,7.9,0,0,-1.0,-1
102,18785646,female,30-49,democrat,sanders,NY,&nbsp;,trump,5.8,0,1,1.0,-1
103,18785646,female,30-49,democrat,sanders,NY,&nbsp;,clinton,14.2,1,0,1.0,-1
112,36979264,male,18-29,republican,trump,TX,&nbsp;,cruz,11.8,1,1,2.0,-1
113,36979264,male,18-29,republican,trump,TX,&nbsp;,sanders,14.1,1,-1,0.0,-1
114,36979264,male,18-29,republican,trump,TX,&nbsp;,sanders,8.0,0,0,0.0,-1
115,36979264,male,18-29,republican,trump,TX,&nbsp;,clinton,7.5,0,-1,1.0,-1
116,36979264,male,18-29,republican,trump,TX,&nbsp;,trump,11.7,1,-1,0.0,-1
117,36979264,male,18-29,republican,trump,TX,&nbsp;,cruz,7.9,0,1,1.0,-1
118,36979264,male,18-29,republican,trump,TX,&nbsp;,trump,5.8,0,-1,0.0,-1
119,36979264,male,18-29,republican,trump,TX,&nbsp;,clinton,14.2,1,1,1.0,-1
120,36858304,male,18-29,democrat,clinton,CA,&nbsp;,cruz,11.8,1,2,1.0,-1
121,36858304,male,18-29,democrat,clinton,CA,&nbsp;,sanders,14.1,1,0,1.0,-1
122,36858304,male,18-29,democrat,clinton,CA,&nbsp;,sanders,8.0,0,1,1.0,-1
123,36858304,male,18-29,democrat,clinton,CA,&nbsp;,clinton,7.5,0,2,2.0,-1
124,36858304,male,18-29,democrat,clinton,CA,&nbsp;,trump,11.7,1,-1,-1.0,-1
125,36858304,male,18-29,democrat,clinton,CA,&nbsp;,cruz,7.9,0,-1,-1.0,-1
126,36858304,male,18-29,democrat,clinton,CA,&nbsp;,trump,5.8,0,1,1.0,-1
127,36858304,male,18-29,democrat,clinton,CA,&nbsp;,clinton,14.2,1,2,2.0,-1
128,32695853,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,1.0,-1
129,32695853,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,2,1.0,-1
130,32695853,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,2,1.0,-1
131,32695853,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,1.0,-1
132,32695853,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,-1,1.0,-1
133,32695853,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,1,1.0,-1
134,32695853,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,1.0,-1
135,32695853,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1.0,-1
136,34098234,male,18-29,democrat,sanders,UT,the Associated Press,cruz,11.8,1,0,0.0,-1
137,34098234,male,18-29,democrat,sanders,UT,the Associated Press,sanders,14.1,1,1,0.0,-1
138,34098234,male,18-29,democrat,sanders,UT,the Associated Press,sanders,8.0,0,0,0.0,-1
139,34098234,male,18-29,democrat,sanders,UT,the Associated Press,clinton,7.5,0,2,1.0,-1
140,34098234,male,18-29,democrat,sanders,UT,the Associated Press,trump,11.7,1,-2,0.0,-1
141,34098234,male,18-29,democrat,sanders,UT,the Associated Press,cruz,7.9,0,-1,1.0,-1
142,34098234,male,18-29,democrat,sanders,UT,the Associated Press,trump,5.8,0,0,-1.0,-1
143,34098234,male,18-29,democrat,sanders,UT,the Associated Press,clinton,14.2,1,0,1.0,-1
144,29363385,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,1,2.0,-1
145,29363385,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,2.0,-1
146,29363385,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,2,2.0,-1
147,29363385,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,1,2.0,-1
148,29363385,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,0,2.0,-1
149,29363385,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,0,2.0,-1
150,29363385,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,1,2.0,-1
151,29363385,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,2.0,-1
152,33435788,male,18-29,democrat,sanders,DE,the Associated Press,cruz,11.8,1,0,1.0,-1
153,33435788,male,18-29,democrat,sanders,DE,the Associated Press,sanders,14.1,1,1,1.0,-1
154,33435788,male,18-29,democrat,sanders,DE,the Associated Press,sanders,8.0,0,2,1.0,-1
155,33435788,male,18-29,democrat,sanders,DE,the Associated Press,clinton,7.5,0,0,1.0,-1
156,33435788,male,18-29,democrat,sanders,DE,the Associated Press,trump,11.7,1,1,1.0,-1
157,33435788,male,18-29,democrat,sanders,DE,the Associated Press,cruz,7.9,0,-1,1.0,-1
158,33435788,male,18-29,democrat,sanders,DE,the Associated Press,trump,5.8,0,0,1.0,-1
159,33435788,male,18-29,democrat,sanders,DE,the Associated Press,clinton,14.2,1,1,1.0,-1
176,36939273,male,18-29,republican,trump,TX,the Associated Press,cruz,11.8,1,1,1.0,-1
