worker_id,gender,age,party,voting_for,state,source,candidate,flesch,is_complex,fair,trust
30398579,female,30-49,independent_other,sanders,MA,&nbsp;,sanders,8,0,1,1
30398579,female,30-49,independent_other,sanders,MA,&nbsp;,clinton,7.5,0,2,1
30398579,female,30-49,independent_other,sanders,MA,&nbsp;,trump,11.7,1,0,0
30398579,female,30-49,independent_other,sanders,MA,&nbsp;,cruz,7.9,0,1,1.0
30398579,female,30-49,independent_other,sanders,MA,&nbsp;,trump,5.8,0,1,1.0
30398579,female,30-49,independent_other,sanders,MA,&nbsp;,clinton,14.2,1,1,1
37012492,male,18-29,republican,trump,DE,&nbsp;,cruz,11.8,1,2,2
37012492,male,18-29,republican,trump,DE,&nbsp;,sanders,14.1,1,2,2
37012492,male,18-29,republican,trump,DE,&nbsp;,sanders,8,0,1,1
37012492,male,18-29,republican,trump,DE,&nbsp;,clinton,7.5,0,1,1
37012492,male,18-29,republican,trump,DE,&nbsp;,trump,11.7,1,2,2
37012492,male,18-29,republican,trump,DE,&nbsp;,cruz,7.9,0,2,2.0
37012492,male,18-29,republican,trump,DE,&nbsp;,trump,5.8,0,1,1.0
37012492,male,18-29,republican,trump,DE,&nbsp;,clinton,14.2,1,2,1
36272463,male,30-49,democrat,clinton,VA,&nbsp;,cruz,11.8,1,-1,-1
36272463,male,30-49,democrat,clinton,VA,&nbsp;,sanders,14.1,1,-1,-1
36272463,male,30-49,democrat,clinton,VA,&nbsp;,sanders,8,0,1,1
36272463,male,30-49,democrat,clinton,VA,&nbsp;,clinton,7.5,0,1,1
36272463,male,30-49,democrat,clinton,VA,&nbsp;,trump,11.7,1,-1,-1
36272463,male,30-49,democrat,clinton,VA,&nbsp;,cruz,7.9,0,1,1.0
36272463,male,30-49,democrat,clinton,VA,&nbsp;,trump,5.8,0,1,1.0
36272463,male,30-49,democrat,clinton,VA,&nbsp;,clinton,14.2,1,1,1
18785646,female,30-49,democrat,sanders,NY,&nbsp;,cruz,11.8,1,2,2
18785646,female,30-49,democrat,sanders,NY,&nbsp;,sanders,14.1,1,2,2
18785646,female,30-49,democrat,sanders,NY,&nbsp;,sanders,8,0,2,2
18785646,female,30-49,democrat,sanders,NY,&nbsp;,clinton,7.5,0,0,-1
18785646,female,30-49,democrat,sanders,NY,&nbsp;,trump,11.7,1,1,1
18785646,female,30-49,democrat,sanders,NY,&nbsp;,cruz,7.9,0,0,-1.0
18785646,female,30-49,democrat,sanders,NY,&nbsp;,trump,5.8,0,1,1.0
18785646,female,30-49,democrat,sanders,NY,&nbsp;,clinton,14.2,1,0,1
24170547,male,64+,independent_other,trump,NJ,&nbsp;,cruz,11.8,1,1,-1
24170547,male,64+,independent_other,trump,NJ,&nbsp;,sanders,14.1,1,0,0
24170547,male,64+,independent_other,trump,NJ,&nbsp;,sanders,8,0,-1,-1
24170547,male,64+,independent_other,trump,NJ,&nbsp;,clinton,7.5,0,-2,-2
24170547,male,64+,independent_other,trump,NJ,&nbsp;,trump,11.7,1,-1,0
24170547,male,64+,independent_other,trump,NJ,&nbsp;,cruz,7.9,0,0,0.0
24170547,male,64+,independent_other,trump,NJ,&nbsp;,trump,5.8,0,1,1.0
24170547,male,64+,independent_other,trump,NJ,&nbsp;,clinton,14.2,1,0,-2
36979264,male,18-29,republican,trump,TX,&nbsp;,cruz,11.8,1,1,2
36979264,male,18-29,republican,trump,TX,&nbsp;,sanders,14.1,1,-1,0
36979264,male,18-29,republican,trump,TX,&nbsp;,sanders,8,0,0,0
36979264,male,18-29,republican,trump,TX,&nbsp;,clinton,7.5,0,-1,1
